2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 120 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 121 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 122 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 123 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 124 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 125 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 126 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 127 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 128 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 129 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 130 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 131 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 132 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 133 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 134 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 135 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 136 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 137 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 138 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 139 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 140 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 141 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 142 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 143 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 144 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 145 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 146 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 147 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 148 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 149 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 150 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 151 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 152 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 153 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 154 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 155 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 156 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 157 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 158 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 159 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 160 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 161 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 162 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 163 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 164 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 165 failed: 'NoneType' object has no attribute 'has'
